104.63	0.722	
104.72	0.677	
104.82	0.634	
104.91	0.647	
105.01	0.607	
105.1	0.565	
105.19	0.643	
105.29	0.728	
105.39	0.695	
105.48	0.642	
105.58	0.675	
105.68	0.685	
105.77	0.661	
105.87	0.619	
105.96	0.636	
106.05	0.68	
106.15	0.641	
106.24	0.624	
106.35	0.662	
106.45	0.678	
106.54	0.645	
106.64	0.648	
106.73	0.574	
106.82	0.612	
106.92	0.621	
107.01	0.69	
107.1	0.616	
107.2	0.589	
107.29	0.643	
107.38	0.591	
107.48	0.662	
107.57	0.587	
107.67	0.66	
107.77	0.554	
107.86	0.572	
107.96	0.687	
108.06	0.631	
108.15	0.66	
108.25	0.606	
108.36	0.585	
108.46	0.588	
108.55	0.541	
108.65	0.56	
108.74	0.592	
108.84	0.658	
108.93	0.571	
109.03	0.619	
109.12	0.577	
109.22	0.642	
109.31	0.553	
109.41	0.63	
109.5	0.648	
109.6	0.572	
109.69	0.561	
109.79	0.593	
109.88	0.586	
109.98	0.654	
110.08	0.605	
110.17	0.572	
110.27	0.578	
110.38	0.567	
110.48	0.526	
110.58	0.615	
110.68	0.59	
110.77	0.59	
110.87	0.582	
110.96	0.571	
111.05	0.594	
111.15	0.519	
111.24	0.566	
111.34	0.552	
111.44	0.628	
111.54	0.524	
111.63	0.548	
111.73	0.535	
111.82	0.472	
111.92	0.626	
112.02	0.572	
112.11	0.524	
112.21	0.459	
112.31	0.523	
112.42	0.62	
112.52	0.53	
112.62	0.587	
112.71	0.478	
112.8	0.619	
112.9	0.512	
113.0	0.438	
113.09	0.462	
113.19	0.562	
113.28	0.537	
113.38	0.609	
113.47	0.489	
113.57	0.548	
113.66	0.515	
113.75	0.501	
113.85	0.507	
113.95	0.456	
114.04	0.556	
114.14	0.526	
114.23	0.474	
114.33	0.509	
114.44	0.612	
114.54	0.528	
114.63	0.565	
114.73	0.517	
114.82	0.543	
114.91	0.498	
115.01	0.513	
115.1	0.541	
115.2	0.515	
115.29	0.54	
115.4	0.479	
115.49	0.477	
115.59	0.524	
115.69	0.581	
115.78	0.47	
115.87	0.54	
115.97	0.457	
116.07	0.513	
116.16	0.51	
116.26	0.531	
116.35	0.442	
116.46	0.508	
116.56	0.485	
116.65	0.549	
116.75	0.52	
116.84	0.458	
116.94	0.51	
117.04	0.438	
117.14	0.511	
117.24	0.533	
117.33	0.384	
117.43	0.571	
117.54	0.473	
117.64	0.518	
117.74	0.501	
117.84	0.506	
117.94	0.452	
118.04	0.443	
118.14	0.423	
118.23	0.482	
118.35	0.612	
118.45	0.526	
118.56	0.524	
118.66	0.498	
118.75	0.418	
118.85	0.524	
118.95	0.544	
119.05	0.503	
119.15	0.444	
119.25	0.507	
119.35	0.461	
119.45	0.466	
119.55	0.573	
119.65	0.519	
119.75	0.59	
119.85	0.522	
119.95	0.473	
120.05	0.479	
120.15	0.424	
120.27	0.514	
120.37	0.448	
120.47	0.463	
120.56	0.475	
120.67	0.464	
120.77	0.47	
120.87	0.405	
120.97	0.487	
121.07	0.442	
121.17	0.528	
121.27	0.462	
121.37	0.388	
121.47	0.453	
121.57	0.463	
121.68	0.456	
121.78	0.475	
121.88	0.49	
121.98	0.43	
122.08	0.381	
122.2	75.001	
122.31	0.491	
122.42	0.575	
122.52	0.444	
122.63	0.438	
122.73	0.416	
122.84	0.398	
122.95	0.411	
123.05	0.438	
123.17	0.439	
123.27	0.418	
123.38	0.472	
123.48	0.439	
123.58	0.433	
123.68	0.465	
123.78	0.433	
123.89	0.435	
123.99	0.417	
124.1	0.443	
124.21	0.395	
124.32	0.421	
124.42	0.368	
124.53	0.416	
124.63	0.406	
124.74	0.474	
124.84	0.427	
124.94	0.399	
125.05	0.381	
125.15	0.371	
125.26	0.35	
125.36	0.418	
125.46	0.405	
125.57	0.378	
125.67	0.351	
125.77	0.405	
125.88	0.398	
125.98	0.385	
126.08	0.379	
126.2	0.383	
126.3	0.389	
126.41	0.383	
126.51	0.36	
126.62	0.395	
126.72	0.449	
126.83	0.388	
126.93	0.322	
127.04	0.343	
127.14	0.398	
127.25	0.355	
127.35	0.355	
127.46	0.419	
127.56	0.415	
127.67	0.346	
127.77	0.379	
127.88	0.385	
127.98	0.378	
128.08	0.324	
128.21	0.367	
128.31	0.352	
128.42	0.441	
128.52	0.459	
128.63	0.368	
128.73	0.388	
128.84	0.38	
128.94	0.289	
129.05	0.452	
129.16	0.355	
129.26	0.37	
129.37	0.373	
129.47	0.36	
129.57	0.32	
129.68	0.35	
129.78	0.374	
129.89	0.329	
129.99	0.31	
130.1	0.328	
130.22	0.353	
130.32	0.373	
130.43	0.336	
130.54	0.36	
130.64	0.36	
130.75	0.405	
130.85	0.363	
130.96	0.349	
131.06	0.376	
131.17	0.353	
131.27	0.298	
131.38	0.281	
131.48	0.338	
131.59	0.392	
131.69	0.352	
131.8	0.347	
131.91	0.347	
132.01	0.286	
132.12	0.304	
